username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-05-15 23:52;0;0;"India Today Decodes Karnataka Political Drama After Poll Verdict | # Karn... https://youtu.be/YP58J01gyDc via @ YouTube @ amitmalviya good debut to @ sardesairajdeep who seem to be an apologist for @ INCIndia";;@ @ @ @;#;"996455679841001472";https://twitter.com/Lohithmj/status/996455679841001472
;2018-05-15 23:50;0;0;"# NF formed a Gravestone Doji candle on daily chart as Karnataka poll verdict did not produce a clear winner with a simple majority.";;;#;"996455326932074496";https://twitter.com/niftystrategies/status/996455326932074496
;2018-05-15 23:50;0;0;"Mandate across Karnataka is against the Congress. Any alliance to put Congress in power is against the public verdict n will drive more sympathy n support for BJP. JDS should have honored the verdict n approached BJP for alliance.";;;;"996455195247828994";https://twitter.com/arav_m/status/996455195247828994
;2018-05-15 23:49;0;0;"It is the BJP that is trying to undermine the verdict. Karnataka has voted for secularism. Cong + JDS has polled much higher percentage than BJP. It will be unconstitutional for the governor to call the BJP first. https://twitter.com/TimesNow/status/996414949143461888 …";;;;"996455042705076224";https://twitter.com/PraveenDavar/status/996455042705076224
;2018-05-15 23:49;0;0;"India VIX fell 7.55% to 13.16 level, as the market got stuck in a range after split verdict in Karnataka state election.";;;;"996454998945902592";https://twitter.com/niftystrategies/status/996454998945902592
;2018-05-15 23:49;0;0;"# KarnatkaVerdict @ PMOIndia @ AmitShah @ ManojTiwariMP पीएम मोदी ने कहा, एक तरफ खुशी, दूसरी ओर मन भारी – Janmat Ki Pukarhttp://www.janmatkipukar.com/?p=10839";;@ @ @;#;"996454925440765952";https://twitter.com/janmatkipukar/status/996454925440765952
;2018-05-15 23:47;0;0;"Bhai wo ho ya na ho, bus muje filhal aapka follow back mil Jaye thi aaj ki Raat mera neend badiya rahega Already I'm so upset with the ppl of Karnataka for not giving a clear verdict to Modiji";;;;"996454496673943552";https://twitter.com/D_SHIVAIyer/status/996454496673943552
;2018-05-15 23:44;0;0;"SC can’t give separate verdict for Karnataka !! Boot lickers are calling us slaves !! Wow";;;;"996453831507562502";https://twitter.com/manojmehtamm1/status/996453831507562502
;2018-05-15 23:43;1;0;"Karnataka Verdict: Here is how BJP's tally has gone down from 104 to 103 http://newsable.asianetnews.com/karnataka/karnataka-verdict-here-is-how-bjp-s-tally-has-gone-down-from-104-to-103-p8s0yu …";;;;"996453610752966659";https://twitter.com/NitinRaut2/status/996453610752966659
;2018-05-15 23:38;0;0;"MoS Civil Aviation Jayant Sinha On Karnataka Verdict | India Development Debate Direct http://dlvr.it/QSyJM0 pic.twitter.com/GmwIlNE6C1";;;;"996452218847903744";https://twitter.com/NamoNamoIndia/status/996452218847903744
;2018-05-15 23:37;0;0;"JD(S) is now like a Bengaluru based start-up which will be acquired by a big Company(bjp Vs cong), and now all its employees will be millionaires. # karnataka verdict";;;#;"996452104024674304";https://twitter.com/maddinenivenkat/status/996452104024674304
;2018-05-15 23:32;0;0;"Karnataka Verdict currently show "INDIAN RESERVATION SYSTEM....... 38Marks 1rank.....78 marks 2rank....&....104 marks 3rd Rank..... # karnatakaverdict";;;#;"996450879304806400";https://twitter.com/Gaurav512eee/status/996450879304806400
;2018-05-15 23:28;0;0;"पुनः गुलामी की और भारत का एक और कदम...! यही वजह है की ऐसे नतीजों पर कॉरपोरेट जगत खुशियां बनाता है # Sensex # KarnatkaVerdict";;;# #;"996449859006693376";https://twitter.com/Rajputajays/status/996449859006693376
;2018-05-15 23:27;0;1;"Evm ballet box hack sab dekh liya... An sidha vidhayak hack hotel hue dikhega .... # karnatka verdicts @ aajtak @ sardanarohit @ SwetaSinghAT @ anjanaomkashyap";;@ @ @ @;#;"996449618467565568";https://twitter.com/anand_sulabh/status/996449618467565568
;2018-05-15 23:26;0;0;"Arnab Goswami is so excited about Karnataka Verdict that I could hear him after switching off the TV.. .............................";;;;"996449160457961472";https://twitter.com/duttbishwajeet/status/996449160457961472
;2018-05-15 23:25;1;2;"# EVM is Enemy of Democracy Karnataka Verdict: Here is how BJP's tally has gone down from 104 to 103 http://newsable.asianetnews.com/karnataka/karnataka-verdict-here-is-how-bjp-s-tally-has-gone-down-from-104-to-103-p8s0yu …";;;#;"996449009156804608";https://twitter.com/lwreza/status/996449009156804608
;2018-05-15 23:23;0;0;"Our Shit media is debating on Karnataka Verdict bcz it's not a breaking News for them! Absolute cancerous Ffs # Varanasi";;;#;"996448591718662145";https://twitter.com/Sunnysaharan111/status/996448591718662145
